No,word,ÆÄ»ý¾î,grade
1,a,(an),1
2,abandon,,3
3,able,(disabled),2
4,aboard,,3
5,abort,(abortion),3
6,abound,(abundant),3
7,about,,1
8,above,,1
9,abroad,,3
10,absent,,3
11,absolute,,2
12,absorb,,3
13,abstract,,3
14,absurd,,3
15,abuse,,3
16,academy,,3
17,accelerate,,3
18,accent,,2
19,accept,,2
20,access,,2
21,accident,,2
22,accommodate,,3
23,accompany,,3
24,accomplish,,3
25,accord,,3
26,account,,2
27,accumulate,,3
28,accurate,,3
29,accuse,,2
30,ache,(headache),3
31,achieve,,2
32,acid,,3
33,acknowledge,,3
34,acquire,,3
35,acquisition,,3
36,across,,1
37,act,"(actual, interact)",1
38,adapt,,2
39,add,,1
40,addict,,3
41,address,,1
42,adequate,,3
43,adjust,,3
44,administer,(administration),3
45,admire,,2
46,admit,(admission),2
47,adolescent,,3
48,adopt,,2
49,adult,,1
50,advance,,2
51,advantage,(disadvantage),2
52,adventure,,2
53,adverse,,3
54,advertize,/ advertise,2
55,advice,,2
56,advise,,2
57,advocate,,3
58,aesthetic,,3
59,affair,,2
60,affect,(affection),2
61,afford,,2
62,afraid,,1
63,after,,1
64,afternoon,,1
65,again,,1
66,against,,1
67,age,,1
68,agency,,3
69,agenda,,3
70,agent,,2
71,aggress,(aggressive),3
72,ago,,1
73,agree,(disagree),1
74,agriculture,,3
75,ahead,,1
76,aid,,2
77,aim,,2
78,air,,1
79,airline,,2
80,airplane,/ aeroplane,1
81,airport,,2
82,alarm,,2
83,album,,1
84,alcohol,,2
85,alert,,3
86,alien,,3
87,alike,,3
88,alive,,2
89,all,,1
90,allocate,,3
91,allow,,2
92,ally,,3
93,almost,,1
94,alone,,1
95,along,,1
96,alongside,,3
97,aloud,,2
98,already,,1
99,alright,,1
100,also,,1
101,alter,,2
102,alternate,(alternative),3
103,although,,2
104,altogether,,2
105,always,,1
106,amaze,,2
107,ambassador,,3
108,ambition,(ambitious),3
109,ambulance,,2
110,among,,2
111,amount,,2
112,amuse,,2
113,analysis,,2
114,analyze,/ analyse,3
115,anchor,,3
116,ancient,,3
117,and,,1
118,angel,,2
119,anger,,2
120,angle,,3
121,animal,,1
122,anniversary,,3
123,announce,,2
124,annoy,,2
125,annual,,2
126,another,,1
127,answer,,1
128,ant,,2
129,anticipate,,3
130,anxiety,,3
131,anxious,,2
132,any,,1
133,apart,,2
134,apartment,,1
135,apology,,3
136,apparent,,3
137,appeal,,2
138,appear,(disappear),2
139,apple,,1
140,apply,(applicant),2
141,appoint,,2
142,appreciate,,2
143,approach,,2
144,appropriate,,2
145,approve,,3
146,approximate,,3
147,architect,(architecture),3
148,area,,1
149,argue,,2
150,arise,,3
151,arm,,1
152,army,,2
153,around,,1
154,arrange,,2
155,arrest,,2
156,arrive,,1
157,arrow,,3
158,art,,1
159,article,,2
160,artifice,(artificial),3
161,as,,1
162,aside,,2
163,ask,,1
164,asleep,,2
165,aspect,,3
166,aspire,,3
167,assault,,3
168,assemble,,3
169,assert,,3
170,assess,,2
171,asset,,3
172,assign,(assignment),2
173,assist,(assistant),2
174,associate,,2
175,assume,,2
176,assure,,3
177,astonish,,3
178,at,,1
179,athlete,,3
180,atmosphere,,2
181,atom,,3
182,attach,,2
183,attack,,2
184,attempt,,2
185,attend,,2
186,attention,,2
187,attitude,,2
188,attract,,2
189,attribute,,3
190,auction,,3
191,audience,,2
192,aunt,,1
193,authentic,,3
194,author,,3
195,automatic,,2
196,autumn,,1
197,avail,(available),3
198,average,,2
199,avoid,,2
200,await,,3
201,awake,,2
202,award,,2
203,aware,(unaware),2
204,away,,1
205,awe,(awful),3
206,awkward,,2
207,baby,,1
208,back,,1
209,background,,2
210,bacon,,2
211,bad,,1
212,badminton,,1
213,bag,,1
214,bake,,1
215,balance,,2
216,ball,,1
217,balloon,,2
218,ban,,3
219,banana,,1
220,band,,2
221,bang,,2
222,bank,,1
223,bankrupt,,3
224,bar,,2
225,bare,,2
226,bargain,,3
227,bark,,2
228,barrier,,3
229,base,,1
230,baseball,,1
231,basis,,2
232,basket,,1
233,basketball,,1
234,bat,,1
235,bath,,1
236,battery,,2
237,battle,,2
238,bay,,2
239,be,,1
240,beach,,1
241,beam,,3
242,bean,,2
243,bear,,1
244,beard,,3
245,beast,,3
246,beat,,2
247,beauty,,1
248,because,,1
249,become,,1
250,bed,,1
251,bee,,1
252,beef,,1
253,beer,,2
254,before,,1
255,beg,,2
256,begin,,1
257,behalf,,3
258,behave,(behavior / behaviour),3
259,behind,,1
260,belief,,2
261,believe,,1
262,bell,,1
263,belong,,2
264,below,,1
265,belt,,1
266,bench,,2
267,bend,,2
268,beneath,,2
269,benefit,,2
270,beside,,1
271,bet,,2
272,betray,,3
273,between,,1
274,beyond,,2
275,bias,,3
276,big,,1
277,bike,,1
278,bill,,1
279,billion,,2
280,bin,,2
281,bind,,2
282,biography,,3
283,biology,,3
284,bird,,1
285,birth,,1
286,biscuit,,1
287,bit,,2
288,bite,,2
289,bitter,,2
290,black,,1
291,blame,,2
292,blank,,2
293,blanket,,2
294,blast,,3
295,blend,,3
296,bless,,2
297,blind,,2
298,blink,,3
299,block,,2
300,blonde,,2
301,blood,,1
302,bloom,,2
303,blossom,,3
304,blow,,2
305,blue,,1
306,board,,1
307,boat,,1
308,body,(embody),1
309,boil,,2
310,bold,,3
311,bomb,,2
312,bond,,2
313,bone,,1
314,book,,1
315,boom,,2
316,boost,,3
317,boot,,2
318,border,,3
319,bore,,2
320,borrow,,1
321,boss,,2
322,both,,1
323,bother,,2
324,bottle,,1
325,bottom,,1
326,bounce,,2
327,boundary,,3
328,bow,,2
329,bowl,,2
330,box,,1
331,boy,,1
332,brain,,2
333,brake,,2
334,branch,,2
335,brand,,2
336,brave,,1
337,bread,,1
338,break,,1
339,breakfast,,1
340,breast,,2
341,breath,,2
342,breathe,,2
343,breed,,3
344,breeze,,3
345,brick,,2
346,bridge,,1
347,brief,,2
348,bright,,1
349,brilliant,,2
350,bring,,1
351,broad,,2
352,broadcast,,3
353,brother,,1
354,brown,,1
355,brush,,1
356,brute,(brutal),3
357,bubble,,2
358,budget,,2
359,bug,,2
360,build,,1
361,bulk,,3
362,bull,,3
363,bully,,3
364,bump,,2
365,bunch,,2
366,bundle,,3
367,burden,,3
368,burn,,1
369,burst,,2
370,bury,,2
371,bus,,1
372,bush,,2
373,business,,1
374,busy,,1
375,but,,1
376,butcher,,3
377,butter,,1
378,button,,1
379,buy,,1
380,buzz,,3
381,by,,1
382,cable,,2
383,cage,,2
384,cake,,1
385,calculate,(calculator),2
386,calendar,,2
387,call,,1
388,calm,,2
389,camera,,1
390,camp,,1
391,campaign,,1
392,can,,1
393,cancel,,3
394,cancer,,3
395,candidate,,3
396,candy,,1
397,canvas,,3
398,cap,,1
399,capable,,2
400,cape,,2
401,capital,,2
402,captain,,2
403,capture,,3
404,car,,1
405,card,,1
406,care,,1
407,career,,2
408,carpet,,2
409,carrot,,1
410,carry,,1
411,cart,,2
412,carve,,3
413,case,(casual),1
414,cash,,1
415,cast,,2
416,castle,,2
417,cat,,1
418,catalogue,/ catalog,2
419,catch,,1
420,category,,2
421,cater,,3
422,cattle,,3
423,cause,(causal),2
424,caution,,3
425,cave,,3
426,cease,,3
427,ceiling,,2
428,celebrate,,3
429,celebrity,,3
430,cell,,2
431,censor,,3
432,center,,1
433,century,,2
434,certain,,1
435,certificate,,3
436,chain,,2
437,chair,,1
438,chairman,,2
